Feature	Key	StartRange	EndRange		
specs_ms_stats_ExplainedIntensity	1	3.48787	95.0914
specs_ms_stats_ExplainedPeaks	2	12.8205	61.7647
specs_ms_stats_ObservedB	3	0	100
specs_ms_stats_ObservedBreaks	4	4.34783	100
specs_ms_stats_ObservedDoubleCharge	5	0	20.3846
specs_ms_stats_ObservedNeutral	6	2.34114	61.5385
specs_ms_stats_ObservedY	7	0	100
specs_ms_stats_PercentIntensityB	8	0	91.4428
specs_ms_stats_PercentIntensityDouble	9	0	92.652
specs_ms_stats_PercentIntensityNeutral	10	0.240691	91.5281
specs_ms_stats_PercentIntensityY	11	0	82.328
specs_ms_stats_TotalPeaks	12	21	342
specs_scored_stats_ExplainedIntensity	13	0	100
specs_scored_stats_ExplainedPeaks	14	0	100
specs_scored_stats_ObservedB	15	0	100
specs_scored_stats_ObservedBreaks	16	0	100
specs_scored_stats_ObservedY	17	0	93.3333
specs_scored_stats_PercentIntensityB	18	0	100
specs_scored_stats_PercentIntensityY	19	0	63.944
specs_scored_stats_TotalPeaks	20	0	244
stars_stats_ExplainedIntensity	21	0	100
stars_stats_ExplainedPeaks	22	0	100
stars_stats_ObservedBorY	23	0	100
stars_stats_ObservedBreaks	24	0	100
stars_stats_PercentIntensityBorY	25	0	100
stars_stats_TotalPeaks	26	0	246
