Feature	Key	StartRange	EndRange
specs_ms_stats_ExplainedIntensity	1	8.27206	84.5479
specs_ms_stats_ExplainedPeaks	2	14.4578	63.9175
specs_ms_stats_ObservedB	3	0	115
specs_ms_stats_ObservedBreaks	4	38.4615	100
specs_ms_stats_ObservedDoubleCharge	5	2.34114	20
specs_ms_stats_ObservedNeutral	6	9.40171	48.7179
specs_ms_stats_ObservedY	7	10	122.222
specs_ms_stats_ParentMassErrorDa	8	0.000165711090909091	2.77252727272727
specs_ms_stats_ParentMassErrorPPM	9	0.163665090909091	4917.29090909091
specs_ms_stats_PercentIntensityB	10	0	45.1
specs_ms_stats_PercentIntensityDouble	11	0.433898	70.42270000000001
specs_ms_stats_PercentIntensityNeutral	12	1.68135	53.7215
specs_ms_stats_PercentIntensityY	13	0.040008	52.4563
specs_ms_stats_TotalPeaks	14	95	338
specs_scored_stats_ExplainedIntensity	15	6.64393	87.0188
specs_scored_stats_ExplainedPeaks	16	6.89655	77.7778
specs_scored_stats_ObservedB	17	0	100
specs_scored_stats_ObservedBreaks	18	0	100
specs_scored_stats_ObservedY	21	0	100
specs_scored_stats_ParentMassErrorDa	22	3.15321818181818e-005	5.31021818181818
specs_scored_stats_ParentMassErrorPPM	23	0.0225847272727273	10465.1090909091
specs_scored_stats_PercentIntensityB	24	0	53.2545
specs_scored_stats_PercentIntensityY	27	0	47.4695
specs_scored_stats_TotalPeaks	28	3	201
stars_stats_ExplainedIntensity	29	0	100
stars_stats_ExplainedPeaks	30	0	100
stars_stats_ObservedBorY	31	0	100
stars_stats_ObservedBreaks	32	0	100
stars_stats_ParentMassErrorDa	35	3.15321818181818e-005	5.31021818181818
stars_stats_ParentMassErrorPPM	36	0.0225847272727273	10465.1090909091
stars_stats_PercentIntensityBorY	37	0	100
stars_stats_TotalPeaks	40	2	201
