Feature	Key	StartRange	EndRange
specs_ms_stats_ExplainedIntensity	1	0.729852	98.2048
specs_ms_stats_ExplainedPeaks	2	15.0794	64.557
specs_ms_stats_ObservedB	3	0	100
specs_ms_stats_ObservedBreaks	4	0	100
specs_ms_stats_ObservedDoubleCharge	5	0	23.0769
specs_ms_stats_ObservedNeutral	6	0.4662	65.3846
specs_ms_stats_ObservedY	7	0	100
specs_ms_stats_PercentIntensityB	8	0	78.1843
specs_ms_stats_PercentIntensityDouble	9	0	93.6869
specs_ms_stats_PercentIntensityNeutral	10	0.0586376	87.7012
specs_ms_stats_PercentIntensityY	11	0	88.3593
specs_ms_stats_TotalPeaks	12	25	342
specs_scored_stats_ExplainedIntensity	13	0	100
specs_scored_stats_ExplainedPeaks	14	0	100
specs_scored_stats_ObservedB	15	0	100
specs_scored_stats_ObservedBreaks	16	0	100
specs_scored_stats_ObservedY	17	0	100
specs_scored_stats_PercentIntensityB	18	0	100
specs_scored_stats_PercentIntensityY	19	0	100
specs_scored_stats_TotalPeaks	20	0	261
stars_stats_ExplainedIntensity	21	0	100
stars_stats_ExplainedPeaks	22	0	100
stars_stats_ObservedBorY	23	0	100
stars_stats_ObservedBreaks	24	0	100
stars_stats_PercentIntensityBorY	25	0	100
stars_stats_TotalPeaks	26	0	263
